amount,payments,A4,A15,A16
84288,1756.0,45714,818.0,888
300204,8339.0,67298,1029.0,1127
398640,6644.0,323870,18782.0,18347
100800,4200.0,102609,2123.0,2134
293160,4886.0,139012,2564.0,2799
158760,2646.0,78955,1655.0,1717
44088,1837.0,81344,2987.0,2487
15420,1285.0,128118,6949.0,6872
26208,728.0,45714,818.0,888
128268,3563.0,159617,5796.0,6132
74124,2059.0,107870,3804.0,3868
22260,371.0,285387,9878.0,10108
133848,5577.0,114006,4147.0,4166
309600,6450.0,226122,9672.0,9208
42900,3575.0,121947,3496.0,3839
27456,2288.0,161227,4980.0,4595
76908,6409.0,107870,3804.0,3868
156420,2607.0,139012,2564.0,2799
253512,7042.0,108871,2595.0,2305
333648,6951.0,177686,6604.0,6295
205200,5700.0,161954,3729.0,3651
7656,319.0,78955,1655.0,1717
321240,5354.0,177686,6604.0,6295
213300,5925.0,162580,6079.0,5410
85716,2381.0,74062,1003.0,1181
311232,6484.0,127369,3736.0,2807
181020,3017.0,78955,1655.0,1717
12540,1045.0,67298,1029.0,1127
98184,4091.0,114200,2157.0,2718
368880,6148.0,125832,2247.0,2103
60000,1000.0,226122,9672.0,9208
360864,7518.0,77963,2640.0,3120
230220,6395.0,53921,1597.0,1875
37944,1054.0,1204953,85677.0,99107
31260,2605.0,159617,5796.0,6132
405780,6763.0,145688,2719.0,2906
239160,3986.0,67298,1029.0,1127
182040,3034.0,51428,999.0,1099
541200,9020.0,285387,9878.0,10108
53232,1109.0,226122,9672.0,9208
44304,1846.0,85852,2653.0,2822
123408,5142.0,119895,4947.0,4743
88704,1848.0,87419,2879.0,3198
253200,4220.0,139012,2564.0,2799
44376,3698.0,58796,1845.0,1879
57060,4755.0,228848,5623.0,5887
44628,3719.0,53921,1597.0,1875
48312,2013.0,102609,2123.0,2134
36204,3017.0,102609,2123.0,2134
213300,3555.0,72541,1580.0,1525
116832,9736.0,103347,2299.0,2354
240528,5011.0,162580,6079.0,5410
191580,3193.0,121947,3496.0,3839
380160,6336.0,323870,18782.0,18347
17508,1459.0,323870,18782.0,18347
68340,1139.0,149893,5244.0,5892
23520,1960.0,107911,1850.0,1903
82896,6908.0,110643,1879.0,2252
188616,7859.0,108871,2595.0,2305
45720,3810.0,1204953,85677.0,99107
104964,8747.0,77963,2640.0,3120
202848,4226.0,127369,3736.0,2807
140688,2931.0,93931,1874.0,1913
276660,7685.0,124605,2854.0,3158
38148,3179.0,1204953,85677.0,99107
90156,7513.0,42821,14861.621661721068,1358
99336,4139.0,228848,5623.0,5887
45024,938.0,285387,9878.0,10108
247920,5165.0,106054,3244.0,3079
